administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue,avg_adm_duration_per_page,avg_inf_duration_per_page,avg_prod_duration_per_page
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,1,1,1,1,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,Q1,2,2,1,2,Returning_Visitor,0,0,0.0,0.0,32.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Q1,4,1,9,3,Returning_Visitor,0,0,0.0,0.0,0.0
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Q1,3,2,2,4,Returning_Visitor,0,0,0.0,0.0,1.3333333335
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Q1,3,3,1,4,Returning_Visitor,1,0,0.0,0.0,62.75
0,0.0,0,0.0,19,154.2166667,0.015789473999999998,0.024561404,0.0,0.0,Q1,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,8.116666668421052
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Q1,2,4,3,3,Returning_Visitor,0,0,0.0,0.0,0.0
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,Q1,1,2,1,5,Returning_Visitor,1,0,0.0,0.0,0.0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,Q1,2,2,2,3,Returning_Visitor,0,0,0.0,0.0,18.5
0,0.0,0,0.0,3,738.0,0.0,0.022222222000000003,0.0,0.4,Q1,2,4,1,2,Returning_Visitor,0,0,0.0,0.0,246.0
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Q1,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,131.66666666666666
0,0.0,0,0.0,16,407.75,0.01875,0.025833332999999997,0.0,0.4,Q1,1,1,4,3,Returning_Visitor,0,0,0.0,0.0,25.484375
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Q1,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,40.07142857142857
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Q1,2,5,1,3,Returning_Visitor,0,0,0.0,0.0,16.333333333333332
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,Q1,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,34.0
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636000000002,0.0,0.0,Q1,1,1,9,3,Returning_Visitor,0,0,26.5,0.0,72.53413560869565
